S_INFO_WINDCODE,ETF_CLASS_NAME,FUND_NAME,FUND_FULLNAME,FUND_MANAGER,S_INFO_INDEXWINDCODE,ENTRY_DT,REMOVE_DT
159649.SZ,债券型ETF,国开债ETF,华安中债1-5年国开行债券交易型开放式指数证券投资基金,华安基金,CBA08301.CS,20220808,
159238.SZ,股票型ETF,300ETF增强,景顺长城沪深300增强策略交易型开放式指数证券投资基金,景顺长城基金,000300.SH,20250528,
159238.SZ,规模指数ETF,300ETF增强,景顺长城沪深300增强策略交易型开放式指数证券投资基金,景顺长城基金,000300.SH,20250528,
159387.SZ,主题指数ETF,创业板新能源ETF国泰,国泰创业板新能源交易型开放式指数证券投资基金,国泰基金,399266.SZ,20250528,
159387.SZ,股票型ETF,创业板新能源ETF国泰,国泰创业板新能源交易型开放式指数证券投资基金,国泰基金,399266.SZ,20250528,
589580.SH,股票型ETF,科创综指ETF兴银,兴银上证科创板综合价格交易型开放式指数证券投资基金,兴银基金,000681.SH,20250527,
589580.SH,规模指数ETF,科创综指ETF兴银,兴银上证科创板综合价格交易型开放式指数证券投资基金,兴银基金,000681.SH,20250527,
520940.SH,跨境主题指数ETF,港股通恒生ETF,华安恒指港股通交易型开放式指数证券投资基金,华安基金,HSISC.HI,20250526,
520940.SH,跨境ETF,港股通恒生ETF,华安恒指港股通交易型开放式指数证券投资基金,华安基金,HSISC.HI,20250526,
159372.SZ,股票型ETF,创业板50ETF万家,万家创业板50交易型开放式指数证券投资基金,万家基金,399673.SZ,20250526,
159372.SZ,规模指数ETF,创业板50ETF万家,万家创业板50交易型开放式指数证券投资基金,万家基金,399673.SZ,20250526,
588910.SH,策略指数ETF,科创价值ETF,建信上证智选科创板创新价值交易型开放式指数证券投资基金,建信基金,950333.CSI,20250320,
588910.SH,股票型ETF,科创价值ETF,建信上证智选科创板创新价值交易型开放式指数证券投资基金,建信基金,950333.CSI,20250320,
561750.SH,规模指数ETF,中证A50ETF博时,博时中证A50交易型开放式指数证券投资基金,博时基金,930050.CSI,20250522,
561750.SH,股票型ETF,中证A50ETF博时,博时中证A50交易型开放式指数证券投资基金,博时基金,930050.CSI,20250522,
159389.SZ,股票型ETF,数字经济ETF嘉实,嘉实中证诚通国企数字经济交易型开放式指数证券投资基金,嘉实基金,931529.CSI,20250522,
159389.SZ,主题指数ETF,数字经济ETF嘉实,嘉实中证诚通国企数字经济交易型开放式指数证券投资基金,嘉实基金,931529.CSI,20250522,
159210.SZ,跨境主题指数ETF,港股汽车ETF,汇添富中证港股通汽车产业主题交易型开放式指数证券投资基金,汇添富基金,931239.CSI,20250522,
159210.SZ,跨境ETF,港股汽车ETF,汇添富中证港股通汽车产业主题交易型开放式指数证券投资基金,汇添富基金,931239.CSI,20250522,
563760.SH,策略指数ETF,全指自由现金流ETF,中银中证全指自由现金流交易型开放式指数证券投资基金,中银基金,932365.CSI,20250521,
563760.SH,股票型ETF,全指自由现金流ETF,中银中证全指自由现金流交易型开放式指数证券投资基金,中银基金,932365.CSI,20250521,
159241.SZ,行业指数ETF,航空航天ETF天弘,天弘国证航天航空行业交易型开放式指数证券投资基金,天弘基金,CN5082.CNI,20250521,
159241.SZ,股票型ETF,航空航天ETF天弘,天弘国证航天航空行业交易型开放式指数证券投资基金,天弘基金,CN5082.CNI,20250521,
159233.SZ,策略指数ETF,自由现金流ETF基金,平安中证全指自由现金流交易型开放式指数证券投资基金,平安基金,932365.CSI,20250521,
159233.SZ,股票型ETF,自由现金流ETF基金,平安中证全指自由现金流交易型开放式指数证券投资基金,平安基金,932365.CSI,20250521,
561220.SH,主题指数ETF,数字经济ETF工银,工银瑞信中证诚通国企数字经济交易型开放式指数证券投资基金,工银瑞信基金,931529.CSI,20250521,
561220.SH,股票型ETF,数字经济ETF工银,工银瑞信中证诚通国企数字经济交易型开放式指数证券投资基金,工银瑞信基金,931529.CSI,20250521,
159385.SZ,主题指数ETF,数字经济ETF富国,富国中证诚通国企数字经济交易型开放式指数证券投资基金,富国基金,931529.CSI,20250521,
159385.SZ,股票型ETF,数字经济ETF富国,富国中证诚通国企数字经济交易型开放式指数证券投资基金,富国基金,931529.CSI,20250521,
159230.SZ,股票型ETF,通用航空ETF基金,华夏国证通用航空产业交易型开放式指数证券投资基金,华夏基金,980076.CNI,20250521,
159230.SZ,主题指数ETF,通用航空ETF基金,华夏国证通用航空产业交易型开放式指数证券投资基金,华夏基金,980076.CNI,20250521,
589700.SH,策略指数ETF,科创成长ETF南方,南方上证科创板成长交易型开放式指数证券投资基金,南方基金,000690.SH,20250521,
589700.SH,股票型ETF,科创成长ETF南方,南方上证科创板成长交易型开放式指数证券投资基金,南方基金,000690.SH,20250521,
588940.SH,规模指数ETF,科创50ETF富国,富国上证科创板50成份交易型开放式指数证券投资基金,富国基金,000688.SH,20250521,
588940.SH,股票型ETF,科创50ETF富国,富国上证科创板50成份交易型开放式指数证券投资基金,富国基金,000688.SH,20250521,
159226.SZ,规模指数ETF,中证A500增强ETF,国泰中证A500增强策略交易型开放式指数证券投资基金,国泰基金,000510.SH,20250520,
159226.SZ,股票型ETF,中证A500增强ETF,国泰中证A500增强策略交易型开放式指数证券投资基金,国泰基金,000510.SH,20250520,
159239.SZ,跨境ETF,港股通汽车ETF富国,富国恒生港股通汽车主题交易型开放式指数证券投资基金,富国基金,HSSCAM.HI,20250519,
159239.SZ,跨境主题指数ETF,港股通汽车ETF富国,富国恒生港股通汽车主题交易型开放式指数证券投资基金,富国基金,HSSCAM.HI,20250519,
159218.SZ,股票型ETF,卫星产业ETF,招商中证卫星产业交易型开放式指数证券投资基金,招商基金,931594.CSI,20250514,
159218.SZ,主题指数ETF,卫星产业ETF,招商中证卫星产业交易型开放式指数证券投资基金,招商基金,931594.CSI,20250514,
588130.SH,主题指数ETF,科创医药ETF基金,华夏上证科创板生物医药交易型开放式指数证券投资基金,华夏基金,000683.SH,20250514,
588130.SH,股票型ETF,科创医药ETF基金,华夏上证科创板生物医药交易型开放式指数证券投资基金,华夏基金,000683.SH,20250514,
563830.SH,股票型ETF,全指现金流ETF基金,博时中证全指自由现金流交易型开放式指数证券投资基金,博时基金,932365.CSI,20250514,
563830.SH,策略指数ETF,全指现金流ETF基金,博时中证全指自由现金流交易型开放式指数证券投资基金,博时基金,932365.CSI,20250514,
563770.SH,策略指数ETF,全指现金流ETF,招商中证全指自由现金流交易型开放式指数证券投资基金,招商基金,932365.CSI,20250508,
563770.SH,股票型ETF,全指现金流ETF,招商中证全指自由现金流交易型开放式指数证券投资基金,招商基金,932365.CSI,20250508,
563550.SH,股票型ETF,A500增强ETF摩根,摩根中证A500增强策略交易型开放式指数证券投资基金,摩根基金,000510.SH,20250508,
563550.SH,规模指数ETF,A500增强ETF摩根,摩根中证A500增强策略交易型开放式指数证券投资基金,摩根基金,000510.SH,20250508,
563060.SH,主题指数ETF,央企50ETF,易方达中证国资央企50交易型开放式指数证券投资基金,易方达基金,931823.CSI,20250508,
563060.SH,股票型ETF,央企50ETF,易方达中证国资央企50交易型开放式指数证券投资基金,易方达基金,931823.CSI,20250508,
159721.SZ,规模指数ETF,深证100ETF永赢,永赢深证100交易型开放式指数证券投资基金,永赢基金,399088.SZ,20210617,20250508
159721.SZ,规模指数ETF,深证100ETF永赢,永赢深证100交易型开放式指数证券投资基金,永赢基金,399330.SZ,20250509,
159721.SZ,股票型ETF,深证100ETF永赢,永赢深证100交易型开放式指数证券投资基金,永赢基金,399330.SZ,20250509,
159721.SZ,股票型ETF,深证100ETF永赢,永赢深证100交易型开放式指数证券投资基金,永赢基金,399088.SZ,20210617,20250508
