date,ivix
2016-08-30,20.1023
2016-08-31,20.4689
2016-09-01,20.5272
2016-09-02,20.3806
2016-09-05,20.3414
2016-09-06,20.1442
2016-09-07,20.1223
2016-09-08,19.6593
2016-09-09,18.5998
2016-09-12,19.3116
2016-09-13,17.548
2016-09-14,17.6299
2016-09-19,17.4464
2016-09-20,17.0596
2016-09-21,17.3491
2016-09-22,16.2644
2016-09-23,15.8062
2016-09-26,16.3029
2016-09-27,16.4956
2016-09-28,16.5863
2016-09-29,15.4359
2016-09-30,16.314
2016-10-10,16.7826
2016-10-11,16.1265
2016-10-12,16.0834
2016-10-13,15.7849
2016-10-14,15.2128
2016-10-17,14.8807
2016-10-18,15.2401
2016-10-19,15.6402
2016-10-20,15.1858
2016-10-21,14.9743
2016-10-24,15.9077
2016-10-25,16.141
2016-10-26,16.3676
2016-10-27,15.974
2016-10-28,16.111
2016-10-31,16.1138
2016-11-01,16.3494
2016-11-02,16.6846
2016-11-03,17.7364
2016-11-04,17.8593
2016-11-07,19.0097
2016-11-08,18.5906
2016-11-09,18.3662
2016-11-10,17.0305
2016-11-11,16.265
2016-11-14,17.0003
2016-11-15,16.9205
2016-11-16,16.5954
2016-11-17,16.2409
2016-11-18,15.8746
2016-11-21,15.6527
2016-11-22,16.1402
2016-11-23,16.3503
2016-11-24,16.1278
2016-11-25,16.027
2016-11-28,15.6215
2016-11-29,14.8641
2016-11-30,16.39
2016-12-01,15.8339
2016-12-02,16.2158
2016-12-05,16.3239
2016-12-06,15.6687
2016-12-07,15.1474
2016-12-08,14.1541
2016-12-09,14.5525
2016-12-12,15.4366
2016-12-13,15.4348
2016-12-14,15.8476
2016-12-15,17.1673
2016-12-16,16.4831
2016-12-19,16.9669
2016-12-20,18.4206
2016-12-21,17.3762
2016-12-22,17.6567
2016-12-23,17.5146
2016-12-26,17.6348
2016-12-27,18.4145
2016-12-28,18.2837
2016-12-29,17.3442
2016-12-30,17.2165
2017-01-03,15.8554
2017-01-04,14.7427
2017-01-05,14.7299
2017-01-06,14.4866
2017-01-09,14.1227
2017-01-10,13.8339
2017-01-11,13.7803
2017-01-12,13.7944
2017-01-13,13.2886
2017-01-16,13.3441
2017-01-17,12.3195
2017-01-18,12.0667
2017-01-19,12.082
2017-01-20,11.7042
2017-01-23,11.6617
2017-01-24,11.6302
2017-01-25,11.4316
2017-01-26,11.3168
2017-02-03,12.4306
2017-02-06,12.5106
2017-02-07,11.9209
2017-02-08,12.776
2017-02-09,12.6272
2017-02-10,12.4393
2017-02-13,12.0384
2017-02-14,11.365
2017-02-15,11.0995
2017-02-16,11.1853
2017-02-17,11.6398
2017-02-20,12.0542
2017-02-21,12.2948
2017-02-22,11.8697
2017-02-23,11.0627
2017-02-24,11.2442
2017-02-27,12.0966
2017-02-28,11.9405
2017-03-01,11.7225
2017-03-02,12.031
2017-03-03,11.3371
2017-03-06,11.7881
2017-03-07,11.6027
2017-03-08,10.8188
2017-03-09,10.5697
2017-03-10,10.2901
2017-03-13,10.6323
2017-03-14,10.7819
2017-03-15,11.4936
2017-03-16,10.3438
2017-03-17,10.1195
2017-03-20,10.104
2017-03-21,10.1076
2017-03-22,10.1029
2017-03-23,9.4478
2017-03-24,9.4304
2017-03-27,10.2545
2017-03-28,10.3483
2017-03-29,10.0366
2017-03-30,9.9309
2017-03-31,9.6519
2017-04-05,10.0703
2017-04-06,10.0879
2017-04-07,10.0523
2017-04-10,10.1217
2017-04-11,9.9779
2017-04-12,9.974
2017-04-13,9.9859
2017-04-14,10.4188
2017-04-17,10.2486
2017-04-18,10.312
2017-04-19,10.6693
2017-04-20,10.1881
2017-04-21,9.7151
2017-04-24,10.0734
2017-04-25,9.6679
2017-04-26,9.2913
2017-04-27,9.0982
2017-04-28,9.1259
2017-05-02,9.0908
2017-05-03,9.0614
2017-05-04,8.9974
2017-05-05,9.2887
2017-05-08,9.2524
2017-05-09,8.8356
2017-05-10,8.3752
2017-05-11,8.3062
2017-05-12,8.7508
2017-05-15,8.8653
2017-05-16,8.6713
2017-05-17,8.5592
2017-05-18,8.486
2017-05-19,8.6439
2017-05-22,8.4707
2017-05-23,8.5879
2017-05-24,8.7018
2017-05-25,12.3467
2017-05-26,10.8754
2017-05-31,12.0327
2017-06-01,12.1212
2017-06-02,12.9022
2017-06-05,12.4569
2017-06-06,12.4844
2017-06-07,13.8251
2017-06-08,14.2278
2017-06-09,15.0922
2017-06-12,15.4469
2017-06-13,15.0869
2017-06-14,14.4919
2017-06-15,13.8954
2017-06-16,13.2809
2017-06-19,13.6909
2017-06-20,13.9881
2017-06-21,13.3657
2017-06-22,13.6138
2017-06-23,13.9033
2017-06-26,15.3767
2017-06-27,14.8559
2017-06-28,15.0408
2017-06-29,14.4679
2017-06-30,14.4046
2017-07-03,14.0748
2017-07-04,13.2969
2017-07-05,14.2224
2017-07-06,13.8219
2017-07-07,13.8786
2017-07-10,13.8971
2017-07-11,13.7269
2017-07-12,14.7766
2017-07-13,14.7823
2017-07-14,15.7619
2017-07-17,17.3459
2017-07-18,16.9209
2017-07-19,16.9889
2017-07-20,17.2003
2017-07-21,16.1539
2017-07-24,15.7097
2017-07-25,15.3821
2017-07-26,15.933
2017-07-27,15.8786
2017-07-28,15.5693
2017-07-31,15.7472
2017-08-01,15.063
2017-08-02,14.8226
2017-08-03,15.2681
2017-08-04,14.9441
2017-08-07,15.3747
2017-08-08,14.9936
2017-08-09,14.2543
2017-08-10,13.6841
2017-08-11,14.6045
2017-08-14,14.2698
2017-08-15,14.0033
2017-08-16,13.9183
2017-08-17,13.6937
2017-08-18,13.4611
2017-08-21,13.0964
2017-08-22,12.4566
2017-08-23,13.1068
2017-08-24,12.7809
2017-08-25,13.8306
2017-08-28,14.3247
2017-08-29,14.9414
2017-08-30,14.6678
2017-08-31,14.5854
2017-09-01,14.4964
2017-09-04,15.0096
2017-09-05,14.9858
2017-09-06,15.2205
2017-09-07,14.7068
2017-09-08,14.4603
2017-09-11,15.1054
2017-09-12,15.1725
2017-09-13,15.3057
2017-09-14,14.0614
2017-09-15,13.6167
2017-09-18,13.7042
2017-09-19,12.9431
2017-09-20,12.8106
2017-09-21,12.7534
2017-09-22,12.5881
2017-09-25,12.8247
2017-09-26,12.7333
2017-09-27,12.3133
2017-09-28,10.5312
2017-09-29,11.1195
2017-10-09,11.5841
2017-10-10,11.6434
2017-10-11,11.0582
2017-10-12,10.681
2017-10-13,10.6648
2017-10-16,10.5521
2017-10-17,10.6622
2017-10-18,10.2603
2017-10-19,10.4619
2017-10-20,10.4566
2017-10-23,10.3253
2017-10-24,11.5942
2017-10-25,11.3523
2017-10-26,11.1568
2017-10-27,10.7163
2017-10-30,11.5949
2017-10-31,10.9312
2017-11-01,10.6228
2017-11-02,10.5701
2017-11-03,10.4148
2017-11-06,10.6659
2017-11-07,10.411
2017-11-08,10.761
2017-11-09,10.8631
2017-11-10,11.4307
2017-11-13,11.5236
2017-11-14,12.2121
2017-11-15,12.3081
2017-11-16,12.0279
2017-11-17,12.6476
2017-11-20,14.5608
2017-11-21,14.5365
2017-11-22,15.3584
2017-11-23,16.1017
2017-11-24,16.9154
2017-11-27,18.0222
2017-11-28,15.0555
2017-11-29,15.6815
2017-11-30,16.8045
2017-12-01,17.9901
2017-12-04,16.0269
2017-12-05,15.327
2017-12-06,16.2383
2017-12-07,15.7504
2017-12-08,15.0268
2017-12-11,14.6837
2017-12-12,15.2397
2017-12-13,15.147
2017-12-14,14.995
2017-12-15,15.1753
2017-12-18,15.3489
2017-12-19,15.1222
2017-12-20,15.3136
2017-12-21,14.7645
2017-12-22,14.6946
2017-12-25,15.3206
2017-12-26,15.1254
2017-12-27,16.7912
2017-12-28,15.5122
2017-12-29,14.2726
2018-01-02,15.0325
2018-01-03,14.8129
2018-01-04,14.6709
2018-01-05,14.4462
2018-01-08,14.8107
2018-01-09,14.2677
2018-01-10,14.6426
2018-01-11,14.9479
2018-01-12,14.3225
2018-01-15,15.4627
2018-01-16,15.9929
2018-01-17,16.9044
2018-01-18,18.8917
2018-01-19,18.8832
2018-01-22,18.877
2018-01-23,19.2839
2018-01-24,21.0415
2018-01-25,18.7759
2018-01-26,17.1138
2018-01-29,18.4905
2018-01-30,16.0816
2018-01-31,17.1503
2018-02-01,16.7855
2018-02-02,17.034
2018-02-05,18.5466
2018-02-06,22.2035
2018-02-07,24.0553
2018-02-08,25.6732
2018-02-09,33.0582
2018-02-12,28.1915
2018-02-13,27.5291
2018-02-14,27.316
2018-02-22,27.316
2018-02-23,27.316
2018-02-26,27.316
2018-02-27,27.316
2018-02-28,27.316
2018-03-01,27.316
2018-03-02,27.316
2018-03-05,27.316
2018-03-06,27.316
2018-03-07,27.316
2018-03-08,27.316
2018-03-09,27.316
2018-03-12,27.316
2018-03-13,27.316
2018-03-14,27.316
2018-03-15,27.316
2018-03-16,27.316
2018-03-19,27.316
2018-03-20,27.316
2018-03-21,27.316
2018-03-22,27.316
2018-03-23,27.316
2018-03-26,27.316
2018-03-27,27.316
2018-03-28,27.316
2018-03-29,27.316
2018-03-30,27.316
2018-04-02,27.316
2018-04-03,27.316
2018-04-04,27.316
2018-04-09,27.316
2018-04-10,27.316
2018-04-11,27.316
2018-04-12,27.316
2018-04-13,27.316
2018-04-16,27.316
2018-04-17,27.316
2018-04-18,27.316
2018-04-19,27.316
2018-04-20,27.316
2018-04-23,27.316
2018-04-24,27.316
2018-04-25,27.316
2018-04-26,27.316
2018-04-27,27.316
2018-05-02,27.316
2018-05-03,27.316
2018-05-04,27.316
2018-05-07,27.316
2018-05-08,27.316
2018-05-09,27.316
2018-05-10,27.316
2018-05-11,27.316
2018-05-14,27.316
2018-05-15,27.316
2018-05-16,27.316
2018-05-17,27.316
2018-05-18,27.316
2018-05-21,27.316
2018-05-22,27.316
2018-05-23,27.316
2018-05-24,27.316
2018-05-25,27.316
2018-05-28,27.316
2018-05-29,27.316
2018-05-30,27.316
2018-05-31,27.316
2018-06-01,27.316
2018-06-04,27.316
2018-06-05,27.316
2018-06-06,27.316
2018-06-07,27.316
2018-06-08,27.316
2018-06-11,27.316
2018-06-12,27.316
2018-06-13,27.316
2018-06-14,27.316
2018-06-15,27.316
2018-06-19,27.316
2018-06-20,27.316
2018-06-21,27.316
2018-06-22,27.316
2018-06-25,27.316
2018-06-26,27.316
2018-06-27,27.316
2018-06-28,27.316
2018-06-29,27.316
2018-07-02,27.316
2018-07-03,27.316
2018-07-04,27.316
2018-07-05,27.316
2018-07-06,27.316
2018-07-09,27.316
2018-07-10,27.316
2018-07-11,27.316
2018-07-12,27.316
2018-07-13,27.316
2018-07-16,27.316
2018-07-17,27.316
2018-07-18,27.316
2018-07-19,27.316
2018-07-20,27.316
2018-07-23,27.316
2018-07-24,27.316
2018-07-25,27.316
2018-07-26,27.316
2018-07-27,27.316
2018-07-30,27.316
2018-07-31,27.316
2018-08-01,27.316
2018-08-02,27.316
2018-08-03,27.316
2018-08-06,27.316
2018-08-07,27.316
2018-08-08,27.316
2018-08-09,27.316
2018-08-10,27.316
2018-08-13,27.316
2018-08-14,27.316
2018-08-15,27.316
2018-08-16,27.316
2018-08-17,27.316
2018-08-20,27.316
2018-08-21,27.316
2018-08-22,27.316
2018-08-23,27.316
2018-08-24,27.316
2018-08-27,27.316
2018-08-28,27.316
2018-08-29,27.316
2018-08-30,27.316
2018-08-31,27.316
2018-09-03,27.316
2018-09-04,27.316
2018-09-05,27.316
2018-09-06,27.316
2018-09-07,27.316
2018-09-10,27.316
2018-09-11,27.316
2018-09-12,27.316
2018-09-13,27.316
2018-09-14,27.316
2018-09-17,27.316
2018-09-18,27.316
2018-09-19,27.316
2018-09-20,27.316
2018-09-21,27.316
2018-09-25,27.316
2018-09-26,27.316
2018-09-27,27.316
2018-09-28,27.316
2018-10-08,27.316
2018-10-09,27.316
2018-10-10,27.316
2018-10-11,27.316
2018-10-12,27.316
2018-10-15,27.316
2018-10-16,27.316
2018-10-17,27.316
2018-10-18,27.316
2018-10-19,27.316
2018-10-22,27.316
2018-10-23,27.316
2018-10-24,27.316
2018-10-25,27.316
2018-10-26,27.316
2018-10-29,27.316
2018-10-30,27.316
2018-10-31,27.316
2018-11-01,27.316
2018-11-02,27.316
2018-11-05,27.316
2018-11-06,27.316
2018-11-07,27.316
2018-11-08,27.316
